Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,2863.153564,2876.039795,2777.192383,2807.344971,2807.344971,129257167
2014-09-18,2804.435059,2804.435059,2536.458496,2606.061523,2606.061523,211726848
2014-09-19,2603.992432,2626.008301,2361.141846,2424.165771,2424.165771,232838334
2014-09-20,2423.410645,2599.164307,2393.998535,2510.793213,2510.793213,226353563
2014-09-21,2505.764160,2532.419434,2414.249268,2448.880615,2448.880615,163209788
2014-09-22,2450.593750,2497.731689,2437.782471,2469.213379,2469.213379,148143464
2014-09-23,2468.844971,2709.747070,2431.381592,2674.362061,2674.362061,276766612
2014-09-24,2674.116699,2675.721680,2583.476318,2596.193359,2596.193359,187888688
2014-09-25,2595.892822,2598.125732,2512.290771,2525.212402,2525.212402,164519751
2014-09-26,2524.322510,2545.312500,2450.695068,2477.750244,2477.750244,131481737
2014-09-27,2472.426270,2491.216309,2434.539307,2447.699219,2447.699219,92078509
2014-09-28,2447.399170,2456.870850,2293.382324,2310.837158,2310.837158,144669244
2014-09-29,2309.287109,2368.854980,2285.516357,2308.934326,2308.934326,199844606
2014-09-30,2312.753174,2399.816650,2297.197266,2375.062256,2375.062256,213033407
2014-10-01,2378.026855,2402.284180,2337.227539,2354.628906,2354.628906,160996057
2014-10-02,2356.918457,2366.180664,2289.142578,2302.191895,2302.191895,133671523
2014-10-03,2302.861084,2318.480713,2196.717529,2206.864258,2206.864258,189687016
2014-10-04,2209.197021,2237.403564,2000.451172,2018.743896,2018.743896,289961255
2014-10-05,2019.050781,2098.145508,1775.843384,1967.450684,1967.450684,511386747
2014-10-06,1966.707886,2118.604980,1857.264526,2026.190063,2026.190063,485013934
2014-10-07,2029.289917,2082.467773,1967.278687,2063.684082,2063.684082,302013586
2014-10-08,2063.248047,2175.263428,2007.527344,2166.522217,2166.522217,335998778
2014-10-09,2165.343506,2346.072266,2131.947266,2237.572998,2237.572998,512711603
2014-10-10,2235.494873,2299.460693,2163.945557,2216.664307,2216.664307,267705674
2014-10-11,2215.438232,2251.174561,2182.264404,2221.182861,2221.182861,81816752
2014-10-12,2223.064697,2326.228027,2183.447754,2320.808350,2320.808350,107612706
2014-10-13,2316.958008,2433.009277,2259.494141,2391.285645,2391.285645,215731075
2014-10-14,2399.113525,2520.826904,2396.859619,2455.328613,2455.328613,235760438
2014-10-15,2455.849365,2463.640381,2381.152832,2417.945313,2417.945313,154758461
2014-10-16,2416.383301,2442.653076,2284.307617,2342.390381,2342.390381,165259770
2014-10-17,2343.614990,2360.590088,2298.807129,2350.057129,2350.057129,83287967
2014-10-18,2351.392334,2419.868408,2320.742676,2397.112549,2397.112549,69914200
2014-10-19,2395.961182,2412.403564,2366.585449,2385.501709,2385.501709,36219644
2014-10-20,2383.572754,2388.796387,2315.885742,2344.274902,2344.274902,100538463
2014-10-21,2341.678467,2403.189697,2331.960938,2365.420166,2365.420166,86843162
2014-10-22,2363.235352,2376.997070,2338.599365,2344.160645,2344.160645,71221473
2014-10-23,2342.961670,2355.723633,2181.099121,2193.153564,2193.153564,161889771
2014-10-24,2194.218262,2228.625488,2162.049805,2191.924805,2191.924805,95334610
2014-10-25,2193.551758,2201.197754,2097.310059,2124.187256,2124.187256,110882292
2014-10-26,2125.508545,2197.282959,2103.757080,2169.653564,2169.653564,68951628
2014-10-27,2170.100098,2193.393311,2138.906982,2158.880859,2158.880859,79709828
2014-10-28,2160.262939,2200.582275,2155.891357,2186.118896,2186.118896,47961864
2014-10-29,2182.885010,2187.433105,2049.180420,2050.696045,2050.696045,111170132
2014-10-30,2051.416992,2145.481934,2048.630127,2111.194824,2111.194824,184507681
2014-10-31,2109.385010,2126.972656,2060.746826,2067.953369,2067.953369,76682503
2014-11-01,2069.964111,2081.449463,1962.416504,1991.108154,1991.108154,101937717
2014-11-02,1993.100952,2011.285156,1959.794434,1991.982300,1991.982300,52588767
2014-11-03,1990.007935,2043.090332,1989.469971,2003.909790,2003.909790,79216333
2014-11-04,2001.505615,2028.755249,1987.845825,2020.958618,2020.958618,95733382
2014-11-05,2022.126587,2099.186279,2022.126587,2075.447510,2075.447510,121152452
2014-11-06,2075.276611,2157.222412,2068.785889,2134.755859,2134.755859,114881625
2014-11-07,2137.982666,2157.097168,2092.523682,2096.435791,2096.435791,103067390
2014-11-08,2094.837891,2124.703613,2094.837891,2115.250244,2115.250244,52258415
2014-11-09,2114.564697,2226.300293,2107.701172,2224.083984,2224.083984,148198786
2014-11-10,2217.967529,2293.499268,2186.378174,2245.208008,2245.208008,186324162
2014-11-11,2238.678955,2273.048340,2227.512939,2251.764160,2251.764160,96997424
2014-11-12,2253.540039,2632.323486,2253.540039,2594.607666,2594.607666,280454148
2014-11-13,2617.346191,2800.151611,2456.597412,2576.707275,2576.707275,360996864
2014-11-14,2562.511230,2567.625000,2358.371826,2438.226563,2438.226563,181352207
2014-11-15,2449.454834,2485.481201,2273.907959,2305.319092,2305.319092,96393848
2014-11-16,2296.720215,2395.207031,2295.935547,2377.328613,2377.328613,72969422
2014-11-17,2380.190918,2512.140625,2311.897949,2372.563965,2372.563965,254269435
2014-11-18,2374.872803,2403.148438,2271.532959,2296.511963,2296.511963,197227478
2014-11-19,2288.542725,2365.186279,2288.542725,2328.615967,2328.615967,115843684
2014-11-20,2327.098633,2337.610840,2184.570068,2191.054199,2191.054199,154502884
2014-11-21,2191.293213,2191.293213,2107.410645,2148.733398,2148.733398,182813952
2014-11-22,2153.363525,2234.432129,2148.917236,2161.423340,2161.423340,93537961
2014-11-23,2162.984863,2271.203125,2162.984863,2251.164063,2251.164063,92794459
2014-11-24,2247.336426,2377.927979,2249.881104,2314.624512,2314.624512,189947930
2014-11-25,2314.532227,2421.885254,2299.487305,2302.947510,2302.947510,156100618
2014-11-26,2307.064697,2316.761719,2245.598145,2261.276123,2261.276123,114188396
2014-11-27,2274.363770,2295.114014,2260.883301,2269.404297,2269.404297,53704156
2014-11-28,2267.586914,2351.735596,2201.953125,2312.476318,2312.476318,140958055
2014-11-29,2310.664063,2380.994385,2286.049561,2306.603760,2306.603760,94450773
2014-11-30,2306.720459,2349.825195,2293.199707,2322.304932,2322.304932,56480525
