Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,49912.671875,50192.937500,48992.777344,49639.035156,49639.035156,2285505072
2014-09-18,49587.582031,49564.738281,44929.191406,46179.074219,46179.074219,3751772160
2014-09-19,46142.406250,46711.023438,41829.390625,43036.710938,43036.710938,4133626497
2014-09-20,43023.304688,46143.496094,42501.144531,44574.625000,44574.625000,4018501036
2014-09-21,44485.343750,44958.558594,42860.660156,43451.550781,43451.550781,2895901895
2014-09-22,43481.945313,44313.152344,43291.140625,43721.964844,43721.964844,2623152672
2014-09-23,43715.445313,48067.894531,42920.019531,47300.753906,47300.753906,4895099730
2014-09-24,47296.414063,47374.847656,45713.878906,46264.769531,46264.769531,3348220164
2014-09-25,46259.414063,46256.851563,44529.644531,44688.707031,44688.707031,2911507552
2014-09-26,44672.960938,45066.414063,43640.980469,44191.519531,44191.519531,2345021616
2014-09-27,44096.562500,44431.695313,43420.839844,43655.550781,43655.550781,1642251611
2014-09-28,43650.195313,43819.128906,40925.718750,41263.601563,41263.601563,2583295020
2014-09-29,41235.925781,42103.562500,40775.167969,41076.089844,41076.089844,3555248380
2014-09-30,41144.027344,42870.625000,40835.992188,42424.539063,42424.539063,3805308372
2014-10-01,42477.496094,43000.808594,41604.023438,41814.035156,41814.035156,2859004600
2014-10-02,41854.691406,41922.800781,40412.429688,40695.312500,40695.312500,2362880450
2014-10-03,40707.136719,41149.871094,39275.027344,39456.441406,39456.441406,3391406700
2014-10-04,39498.148438,40002.449219,35765.988281,36093.042969,36093.042969,5184205875
2014-10-05,36098.531250,37512.660156,31750.234375,35188.792969,35188.792969,9146395860
2014-10-06,35175.507813,37678.277344,33151.500000,35932.402344,35932.402344,8601224548
2014-10-07,35987.375000,37022.027344,34807.550781,36325.007813,36325.007813,5316049195
2014-10-08,36317.332031,38324.468750,35460.632813,38170.460938,38170.460938,5919730845
2014-10-09,38149.695313,41368.855469,37491.089844,39357.101563,39357.101563,9018183833
2014-10-10,39320.554688,40402.214844,38081.179688,38922.152344,38922.152344,4700612605
2014-10-11,38900.621094,39528.113281,38318.125000,39001.488281,39001.488281,1436610780
2014-10-12,39034.535156,40701.781250,38338.902344,40629.664063,40629.664063,1883942024
2014-10-13,40562.261719,42491.265625,39542.070313,41793.820313,41793.820313,3770450870
2014-10-14,41930.628906,44113.441406,41906.886719,43017.359375,43017.359375,4130522865
2014-10-15,43026.480469,43134.824219,41170.320313,41849.886719,41849.886719,2678565271
2014-10-16,41822.855469,42269.554688,39664.804688,40715.433594,40715.433594,2872545700
2014-10-17,40736.722656,41188.324219,39993.945313,41004.542969,41004.542969,1453234795
2014-10-18,41027.835938,42222.632813,40493.050781,41825.578125,41825.578125,1219885080
2014-10-19,41805.488281,42092.382813,41292.929688,41739.851563,41739.851563,633746176
2014-10-20,41706.101563,41785.800781,40476.746094,40918.472656,40918.472656,1754862720
2014-10-21,40873.156250,41918.886719,40657.839844,41356.691406,41356.691406,1518354189
2014-10-22,41318.488281,41542.660156,40896.820313,41055.378906,41055.378906,1247365295
2014-10-23,41034.378906,41265.593750,38596.082031,38766.382813,38766.382813,2861578304
2014-10-24,38785.203125,39334.687500,38164.003906,38751.429688,38751.429688,1685437598
2014-10-25,38780.191406,38915.367188,37078.718750,37553.886719,37553.886719,1960307850
2014-10-26,37577.242188,38846.160156,37192.699219,38368.332031,38368.332031,1219346325
2014-10-27,38376.230469,38639.011719,37765.378906,38066.335938,38066.335938,1405478720
2014-10-28,38090.707031,38899.871094,38022.320313,38665.660156,38665.660156,848296546
2014-10-29,38608.460938,38685.328125,36471.902344,36522.367188,36522.367188,1979911541
2014-10-30,36535.210938,38319.699219,36640.121094,37717.664063,37717.664063,3296332017
